type,genre,words
chat,action,空爆する
chat,action,前進します！
chat,action,移動する
chat,action,突撃する
chat,action,援護する
chat,action,遠距離戦をする
chat,action,敵から離れて戦う
chat,action,盾になる
chat,action,いったん逃げる
chat,action,そちらに向かう
chat,action,救助のために体力を回復する
chat,action,気絶している
chat,action,回復する
chat,action,○○(プレイヤー名)を守る
chat,action,ボスを攻撃する
chat,action,アンカーを攻撃する
chat,action,砲台を攻撃する
chat,action,ブレードを使う
chat,action,ミサイルを使う
chat,action,レーザー誘導装置の支援を待つ
chat,action,誘導ビーコンの支援を待つ
chat,action,ガードポストを設置した
chat,action,トーチカを設置した
chat,action,ビークルを置いたぞ
chat,warn,危ない！
chat,warn,注意しろ！
chat,warn,離れろ！
chat,warn,範囲攻撃に注意してくれ
chat,warn,ハンマーに注意してくれ
chat,warn,攻撃が届かない
chat,warn,強敵だ！
chat,warn,敵が増えたぞ！
chat,warn,ここにいる
chat,warn,こっちじゃない
chat,warn,エイリアンは気付いてない
chat,warn,敵は戦闘モードだ
chat,defeated,撃破！
chat,defeated,クリア！
chat,defeated,最後の敵を破壊
chat,defeated,制圧したぞ
chat,defeated,ものたりないな
chat,defeated,ザコ退治が終わったぞ
chat,defeated,大型円盤を撃破！
chat,defeated,シールドベアラーを破壊！
chat,defeated,巣を撃破！
chat,defeated,大物を撃破！
chat,defeated,砲台を破壊！
chat,ask,ＯＫ？
chat,ask,大丈夫か？
chat,ask,ダメか？
chat,ask,いるか？
chat,ask,準備はいいか？
chat,ask,助けがいるか？
chat,ask,負けているのか？
chat,ask,再出撃していいか？
chat,ask,退却していいか？
chat,ask,このまま続けていいか？
chat,ask,失敗したので再出撃していいか？
chat,ask,兵科変更のため退却してもいいか？
chat,ask,参加者が減ったので退却していいか？
chat,ask,ミッションを変えていいか？
chat,ask,難しいミッションにしていいか？
chat,ask,難易度を上げていいか？
chat,ask,攻撃していいか？
chat,ask,最後の敵を倒していいか？
chat,ask,攻撃してくれないか？
chat,ask,援護してくれないか？
chat,ask,空爆していいか？
chat,ask,ミサイルを使っていいか？
chat,ask,レーザー誘導が必要か？
chat,ask,レーザー誘導で支援できるか？
chat,ask,武器を変更するか？
chat,ask,前進していいか？
chat,ask,突撃していいか？
chat,ask,後退していいか？
chat,ask,右にいっていいか？
chat,ask,こっちに来れるか？
chat,ask,合流できるか？
chat,ask,避難していいか？
chat,ask,救助に行けるか？
chat,ask,救助できるか？
chat,ask,救助する体力はあるか？
chat,ask,アイテムをとっていいか？
chat,ask,アイテムの回収は終わったか？
chat,ask,アイテム回収に専念していいか？
chat,ask,ビークルを要請するか？
chat,ask,ビークルをもらっていいか？
chat,ask,ガンナー席に乗っていいか？
chat,helpyou,救助に行く
chat,helpyou,救助しろ！
chat,helpyou,救助のために体力を回復するんだ
chat,helpyou,救助を優先するんだ
chat,strategy,敵を攻撃してくれ
chat,strategy,敵に接近してくれ
chat,strategy,援護してくれ
chat,strategy,突撃してくれ
chat,strategy,オトリになってくれ
chat,strategy,○○(プレイヤー名)を守ろう
chat,strategy,ビークルが投下されるまで攻撃を待て
chat,strategy,空爆が終わるまで待ってくれ
chat,strategy,そろそろ攻撃しよう
chat,strategy,遠距離攻撃だ
chat,strategy,後退しながら戦うぞ
chat,strategy,慎重に行く
chat,strategy,かたまらず散開しろ！
chat,attackenemy,ザコを倒すぞ
chat,attackenemy,エイリアンを倒すぞ
chat,attackenemy,アンカーを破壊するぞ
chat,attackenemy,アラネアを倒すぞ
chat,attackenemy,ロボットを破壊するぞ
chat,attackenemy,赤いやつを倒すぞ
chat,attackenemy,銀色を倒すぞ
chat,attackenemy,ザコを倒してくれ
chat,attackenemy,エイリアンを倒してくれ
chat,attackenemy,アンカーを破壊してくれ
chat,attackenemy,アラネアを倒してくれ
chat,attackenemy,ロボットを破壊してくれ
chat,attackenemy,赤いやつを倒してくれ
chat,attackenemy,銀色を倒してくれ
chat,equipment,長射程の武器で戦おう
chat,equipment,空爆で戦おう
chat,equipment,接近戦用の武器で戦おう
chat,equipment,設置型装置を使おう
chat,equipment,トーチカを使おう
chat,equipment,ガードポストを使おう
chat,equipment,リバーサーを使おう
chat,move,行くぞ！
chat,move,続け！
chat,move,後退する
chat,move,戻るぞ
chat,move,左に行く
chat,move,下に行く
chat,move,ここで待とう
chat,move,この場所で戦うぞ
chat,move,ここに隠れよう
chat,move,動かないでくれ
chat,move,集合してくれ
chat,move,こっちへ来てくれ
chat,move,支援装置の周囲に集まってくれ
chat,gathering,○○(プレイヤー名)の位置に集まるぞ
chat,item,アイテムを回収する
chat,item,アイテム回収終了
chat,item,回復アイテムが欲しい
chat,item,回復アイテムがある
chat,item,武器アイテムがある
chat,item,ここには無い
chat,vehicle,ビークルを要請する
chat,vehicle,ビークルが投下されるまで待ってくれ
chat,vehicle,ビークルで輸送する
chat,vehicle,ビークルに乗った
chat,vehicle,ビークルに乗ってくれ
chat,vehicle,ビークルに乗ってかまわない
chat,vehicle,ビークルの弾がきれた
chat,vehicle,ビークルを放棄するんだ
chat,vehicle,ビークルを修理してくれ
chat,vehicle,ビークルにまかせたぞ
chat,vehicle,ガンナー席に乗ってくれ
chat,vehicle,横に乗ってくれ
chat,vehicle,あと１人乗ってくれ
chat,vehicle,あと３人乗ってくれ
chat,vehicle,戦車だ
chat,vehicle,バイクだ
chat,vehicle,特殊タンクだ
chat,appeal,敬礼1
chat,appeal,よろしく
chat,appeal,はい、肯定
chat,appeal,ガッツポーズ
chat,appeal,とても喜ぶ
chat,appeal,怒る
chat,appeal,悲しむ
chat,appeal,グッジョブ
chat,appeal,謝る
chat,appeal,正座
chat,appeal,踊る
chat,appeal,探す
chat,appeal,腕立て伏せ
chat,appeal,腹筋
chat,appeal,ハンドサイン1
chat,appeal,ハンドサイン3
chat,appeal,フォーメーション2
chat,appeal,フォーメーション4
chat,appeal,誘導サイン1
chat,appeal,誘導サイン3
chat,appeal,誘導サイン5
communication-log,EDF4,臨時ニュースです！現地から送られてきた映像をそのまま放送しています。何かが起こったと……あ、あれは巨大生物です！人が襲われています！7年前に絶滅したはずですが、巨大生物は生き残っていたのです！
communication-log,EDF4,巨大生物を見た者がいるらしい。この目で確かめる！
communication-log,EDF4,ストームチーム、ついて来てくれ
communication-log,EDF4,行くぞ！
communication-log,EDF4,Yes,sir!
communication-log,EDF4,何かの間違いだよな？
communication-log,EDF4,そうに決まってる！
communication-log,EDF4,巨大生物は全滅したはずだ！7年前に！
communication-log,EDF4,巨大生物だ！
communication-log,EDF4,でけえ……
communication-log,EDF4,市民が襲われている！撃て！市民を助けろ！！
communication-log,EDF4,どうなってんだ……なんで巨大生物が……？
communication-log,EDF4,レンジャー1、状況を報告しろ！
communication-log,EDF4,巨大生物と交戦、数匹を撃破しました！
communication-log,EDF4,なんだと！？そんな馬鹿な！
communication-log,EDF4,行くぞ！
communication-log,EDF4,Yes,sir!
communication-log,EDF4,最後の巨大生物が倒されたのは、7年も前だぞ！なぜ今頃……
communication-log,EDF4,巨大生物は7年前に全滅したんじゃないのかよ？アリゾナで倒されたのが最後の1匹のはずだ！
communication-log,EDF4,生き残りがいた！7年も潜んでいやがるとはな！
communication-log,EDF4,こんな日のために我々がいる！
communication-log,EDF4,7年ぶりの巨大生物だ。今や絶滅危惧種だぞ！
communication-log,EDF4,危惧は無用だ。絶滅させろ！
communication-log,EDF4,Yes,sir!
communication-log,EDF4,最後の巣が駆除されてから7年。その間、こいつらはどこに隠れてやがったんだ！
communication-log,EDF4,絶滅したっていうのは、嘘だったのかよ！
communication-log,EDF4,こいつらは地底に潜んでた。俺たちはこいつらの上で暮らしてたってことなのか！？
communication-log,EDF4,巨大生物だ！
communication-log,EDF4,襲われてるぞ！
communication-log,EDF4,撃て！市民を守れ！
communication-log,EDF4,Yes,sir!
communication-log,EDF4,状況を報告しろ！
communication-log,EDF4,巨大生物です！市民が襲われています！
communication-log,EDF4,巨大生物を攻撃。市民を救え！
communication-log,EDF4,了解！
communication-log,EDF4,あーあー、私はフォーリナーの研究者オハラだ。兵士諸君にアドバイスしたい。死んだ巨大生物を調査した結果、驚くべき事がわかった。やつらは7年間で進化し、強くなった。より硬い甲殻に包まれ、簡単には倒す事はできない。だが問題は無い。EDFの装備もまた、7年で強力になっている。進化した巨大生物といえど、必ず倒せる！健闘を祈る！
communication-log,EDF4,こちらレンジャー1-6！データと違います！巨大生物は7年前よりも強靭で凶暴です！我々だけでは手に負えません！！
communication-log,EDF4,レンジャー1-6、巨大生物と戦う訓練を積んできたはずだ！踏み止まれ！
communication-log,EDF4,こちらレンジャー2！巨大生物と交戦中！ウイングダイバーの出動を要請します！
communication-log,EDF4,なんて鋭い牙だ！
communication-log,EDF4,こちらレンジャー1-6！やつらは人間を軽々と持ち上げて……うあああーっ！！
communication-log,EDF4,こちらレンジャー6！ウイングダイバーの救援を！
communication-log,EDF4,ウイングダイバーの到着には時間がかかる！持ちこたえろ！市民を守らねばならない！
communication-log,EDF4,ウイングダイバーはまだなのか！どれ程やつらが進化していようと飛ぶ事ができない以上、空中からの攻撃で殲滅できる。ウイングダイバーさえ到着すれば、勝負は決する！
communication-log,EDF4,現地の部隊に告ぐ。巨大生物の生き残りが確認された。発見次第倒せ！敵はわずかな生き残りに過ぎない。怯むなよ
communication-log,EDF4,こちらレンジャー9！巨大生物と交戦中！苦戦しています！ウイングダイバーの援護を要請します！
communication-log,EDF4,こちら本部。ウイングダイバーは現地へ向かっている。それまで巨大生物を食い止めろ！
communication-log,EDF4,ウイングダイバーは巨大生物の天敵！到着すれば、巨大生物もお終いだ！
communication-log,EDF4,巨大生物は飛べない！一網打尽だ！
communication-log,EDF4,これほどの数が生き残っているとは……巨大生物の生命力は我々の想像を超えている！地下で進化を続けていたとすると、手に負えない事態になりかねない。調査が必要だ……
communication-log,EDF4,ウイングダイバーはなぜ来ない！？
communication-log,EDF4,こちらレンジャー8！ウイングダイバーの力が必要です！
communication-log,EDF4,ウイングダイバーチームは、現在そっちへ向かっている
communication-log,EDF4,こちらウイングダイバー。現地に到着しました！
communication-log,EDF4,ウイングダイバー、巨大生物を殲滅しろ！
communication-log,EDF4,了解！
communication-log,EDF4,ハンティングの時間だ！獲物はどこにいる！
communication-log,EDF4,見ろ！ウイングダイバーだ！
communication-log,EDF4,ウイングダイバーが来たぞー！
communication-log,EDF4,勝利の女神が到着だ！
communication-log,EDF4,巨大生物は空を飛べない！一方的な戦いになるぞ！
communication-log,EDF4,極限まで軽量化した我々は、防御に劣る。 アーマースーツを着用せず戦場にいるんだ。敵の攻撃には注意しろ！
communication-log,EDF4,ウイングダイバーが戦闘中だ。レンジャーチーム、ストームチーム、今がチャンスだ。すべての巨大生物を殲滅するぞ！
communication-log,EDF4,ウイングダイバーが次々と巨大生物を撃破している。この戦い、勝てるぞ！
communication-log,EDF4,ウイングダイバーが撃ち漏らした敵がいる。残り物はお前たちが倒せ！
communication-log,EDF4,ストームチーム、付近の巨大生物をすべて倒せ。他のエリアはウイングダイバーが片付ける！
communication-log,EDF4,ウイングダイバー4からの連絡が途絶えた。何かが起こったようだ……ストームチーム、現地に向かえ！
communication-log,EDF4,どうなってんだ……巨大生物は飛べない！ウイングダイバーが負けるはずがない！
communication-log,EDF4,こちらスカウト2。救援要請があった地点に到着。ビルの間にネットが張り巡らされています！糸が！市民が襲われている！なんてことだ……。あっ、ウイングダイバーを発見！こんな事があっていいのか！
communication-log,EDF4,ウイングダイバー、何が起こった！？状況を報告しろ！
communication-log,EDF4,こちらウイングダイバー……敵に捕まった！
communication-log,EDF4,やつら、我々を捕らえる罠を！動きが取れません！……助けて！助けて！
communication-log,EDF4,救援を！急いで！
communication-log,EDF4,ストームチーム、ウイングダイバーを救出しろ！
communication-log,EDF4,足が、動かない……離れろ！
communication-log,EDF4,出力を最大にして脱出しろ！
communication-log,EDF4,きゃあああああ！！
communication-log,EDF4,罠だ、退却しろ！このままでは全滅するぞ！……はっ！しまった！
communication-log,EDF4,こちらウイングダイバー、動けない！助けて！はっ……あいつが来る！
communication-log,EDF4,こんな馬鹿な……ウイングダイバーが！こんな事、予測できるはずがない……！
communication-log,EDF4,来ないで！来ないでぇ！
communication-log,EDF4,脱出不能！救援を要請します！
communication-log,EDF4,脱出できません！助けてください！
communication-log,EDF4,やつらは人類の手の内を読んでいたというのか……！？
communication-log,EDF4,巨大生物の待ち伏せです！罠で我々を……ああっ！？いやーーっ！
communication-log,EDF4,ウイングダイバー、どうした！？
communication-log,EDF4,くそっ……！
communication-log,EDF4,人類は、巨大生物を駆逐するためにウイングダイバーという力を手にした。だが、巨大生物はそれ以上の進化をしていたというのか！？
communication-log,EDF4,巨大生物の進化は、人類の英知を超えているというのか！科学より早い進化など有り得るはずがない！しかし……
communication-log,EDF4,こちら、ダイバー11……動けません！急いで救援を！
communication-log,EDF4,ストームチーム、ウイングダイバーを救出しろ！
communication-log,EDF4,ウイングダイバーは巨大生物の天敵だ。だが、ウイングダイバーの天敵となる巨大生物が現れた！
communication-log,EDF4,きゃああーっ！
communication-log,EDF4,こちらレンジャー6！巨大生物と交戦中！やつらは巣を作って人間を……ああ、ぐあっ！糸が……糸が取れない！うあぁっ！引きずられています！誰か手を貸してくれ！助けて！
communication-log,EDF4,作戦指令本部よりストームチーム。孤立しているチームがいる。救援に向かえ！
communication-log,EDF4,こちらオハラ。兵士諸君、新たに現れた巨大生物を、レタリウスと命名したい。レタリウスはネットで獲物を絡め取る。十分に注意して欲しい
communication-log,EDF4,巣に捕らえられた者を救出しろ。絶対に見捨てるな！
communication-log,EDF4,こちらレンジャー7。3名やられました！いえ……3名はまだ、生きています！網に……捕らわれて……わあっ！逃げろ！逃げろー！
communication-log,EDF4,8名やられました！逃げられたのは、私だけです……！
communication-log,EDF4,なんてバケモノなんだ……
communication-log,EDF4,新種まで生まれているとなると、やつらの進化速度は想像を絶している……。このままでは、地球は巨大生物の星になる。一刻も早く、巣を破壊しなければならない！
communication-log,EDF4,一刻を争う！地底の巣を破壊し、やつらの進化を止めなければならない！レタリウスが生まれたという事は、いずれ更なる新種……ウイングダイバー以上の飛行型巨大生物が誕生する危険すらある。地球を巨大生物の星にしてはならない！絶対に……！
communication-log,EDF4,巨大生物を放置すれば、やつらは地下で際限無く増殖し進化する。そうなる前に、撃滅しなければならない！総員、作戦を開始せよ！
communication-log,EDF4,このショッピングセンターの中に、地底への入り口があるはずだ
communication-log,EDF4,この先に地底への入り口があるはずだ。行くぞ！
communication-log,EDF4,Yes,sir!
communication-log,EDF4,駅を抜けた所に、地底への入り口がある。ついて来てくれ！
communication-log,EDF4,ここから地底に入る！
communication-log,EDF4,信じられん……これほどの数の巨大生物が生存しているとは……
communication-log,EDF4,巨大生物は減るどころか、増えたってことかよ！
communication-log,EDF4,地球は汚染されちまってる。巨大生物ってのは、タチの悪いウイルスみたいなもんだ
communication-log,EDF4,こっちだ！来てくれ！
communication-log,EDF4,こんなに広い巣を作っていやがるとはな！
communication-log,EDF4,全滅させるのは無理だ！
communication-log,EDF4,今やらないと、いずれ人類が全滅するぞ！
communication-log,EDF4,フォーリナーを追い出しても、これじゃあ勝ったとは言えねえな！
communication-log,EDF4,まだこんなに生き残っていやがったのかよ！
communication-log,EDF4,全滅させるしかない！
communication-log,EDF4,巨大生物を絶滅危惧種なんて言ったやつはどいつだ！
communication-log,EDF4,これじゃ人類のほうが絶滅危惧種だ！
communication-log,EDF4,フォーリナーのやつら、人類が巨大生物に滅ぼされるのを待っているだけなのかも知れないぞ……
communication-log,EDF4,そんな馬鹿な！
communication-log,EDF4,やつら、すぐそこまで来てるかもな……
communication-log,EDF4,やめてくれ！
communication-log,EDF4,こちらレンジャー2-1！蜘蛛型の巨大生物と戦闘中！……はっ、糸だ！しまった！うわっ、うわぁああーっ！！
communication-log,EDF4,糸が……！動けない！
communication-log,EDF4,駄目だ！巨大生物は強くなってる！
communication-log,EDF4,数が多い！倒しきれない！
communication-log,EDF4,こちらレンジャー1-2！応援を！……しまった、助けろーっ！うわああぁああああ！
communication-log,EDF4,助けてくれ！糸に巻かれるーっ！
communication-log,EDF4,巨大生物の数は想像以上です！撤退の許可を！……おい！しっかりしろ！あいつを助けろ！ああああーっ！
communication-log,EDF4,なんという事だ……犠牲者が増えていく！
communication-log,EDF4,助けてくれーっ！……うっ、うっ、うああああああ！
communication-log,EDF4,みんなやられた！
communication-log,EDF4,また犠牲者が！？なんという事だ……なんという事だ……！
communication-log,EDF4,我々の準備は一体なんだったんだ……私は何のために！
communication-log,EDF4,敗北は許されない。勝たねばならない戦いだ
communication-log,EDF4,しかし……
communication-log,EDF4,空軍に支援を要請した。120ミリ砲を搭載した、大型攻撃機ホエールがこちらへ向かっている。巨大生物を吹っ飛ばしてやる！
communication-log,EDF4,砲兵隊、要請に応じて出動。自走榴弾砲、自走ロケット砲がこちらに向かっています。到着すれば、砲撃支援が受けられます
communication-log,EDF4,戦いはこれからだ！
communication-log,EDF4,総員、巨大生物を攻撃せよ！一体も残すな！
communication-log,EDF4,この巨大生物は糸を吐く。捕まるなよ！
communication-log,EDF4,この巨大生物は手強い。慎重に戦ってほしい！
communication-log,EDF4,大型攻撃機ホエール、作戦エリア上空に到達
communication-log,EDF4,こちらホエール。作戦エリアに到着！
communication-log,EDF4,ホエール、上空を旋回して待て。エアレイダーが攻撃目標を指示する
communication-log,EDF4,ホエール、了解！
communication-log,EDF4,ストームチーム、上空に大型攻撃機ホエールがいる。空からの砲撃が可能だ。攻撃目標の指示は、エアレイダーに任せる
communication-log,EDF4,こちらホエール。現在、作戦エリア上空を旋回中。地上の諸君、空に味方がいる事を忘れないで欲しい
communication-log,EDF4,ホエールより地上部隊。攻撃準備はできている。ホエールは空飛ぶ要塞。バルカン砲、ロケット弾、120ミリ砲、すべてが揃っている！目標の指示を願う！
communication-log,EDF4,大型輸送ヘリ・ヒドラの編隊を確認。輸送部隊ポーターズが到着したようです
communication-log,EDF4,来たか……！
communication-log,EDF4,こちらポーターズ。最新鋭のビークルを輸送中。要請があれば、作戦エリアに投下します
communication-log,EDF4,よし、ポーターズ。上空で待機し、支援要請を待て
communication-log,EDF4,了解
communication-log,EDF4,こちら本部。輸送部隊ポーターズが現地に到着した。要請があれば、ビークルを投下可能だ
communication-log,EDF4,砲兵隊が到着しました
communication-log,EDF4,よし！
communication-log,EDF4,これより支援任務につきます。自走榴弾砲、ロケット砲、発射準備完了しています！
communication-log,EDF4,エアレイダーが目標を指示する。要請があり次第、発射しろ。敵を木っ端微塵にしてやれ！
communication-log,EDF4,了解！
communication-log,EDF4,これ見てください。情報が漏れてます！
communication-log,EDF4,これは……！
communication-log,EDF4,例の情報がマスコミに発表されました
communication-log,EDF4,嗅ぎ付けられたか……まあいい、いつかは知られる事だ
communication-log,EDF4,作戦指令本部よりストームチーム。交戦中のチームがいる。救援に向かえ
communication-log,EDF4,重大な情報が明らかになりました！月面に、フォーリナーのマザーシップが集結しているというのです！先ほどEDFは、この情報が真実である事を認めました。EDFはすでにこの事を知っていたのです！私たちは、情報を秘匿していたEDFに、抗議を行っていきますが……。重要なのは、世界が再び脅威に晒されるという事です！
communication-log,EDF4,フォーリナーの襲来と時を合わせるように巨大生物が活動を再開した……。フォーリナーと巨大生物は何かしらの影響を与え合っているというのか……？
communication-log,EDF4,再び姿を現した、巨大生物。我々はそれを突然の事と捉えていましたが、フォーリナーはすでに来ていたのです！巨大生物が地上へと出てきた事と、フォーリナーの襲来は、無関係とは思えません！
communication-log,EDF4,さらに驚くべき情報です！月面に集結しているマザーシップは10隻とのこと。単純に考えても前回の10倍の戦力です。人類はこの時に備えて、様々な準備をしてきました。しかしこれ程の大軍は想定していません。果たしてEDFには対策があるのでしょうか！？
communication-log,EDF4,総司令部からの緊急通信。重大な問題が発生しました。フォーリナーの船団が移動を開始
communication-log,EDF4,なんだと！？
communication-log,EDF4,月面から地球へ向かっています
communication-log,EDF4,くそっ、10隻を相手に対策などあるものか！いくらEDFが力を増したとはいえ、ひとたまりも無いぞ！
communication-log,EDF4,すでに各地のレーダーが最大出力で稼働中。全サイロオープン。超音速ミサイル・テンペスト、発射体勢です！
communication-log,EDF4,赤道のリニアキャノン、起動シークエンスに入っています。大気圏突入時を狙い、マザーシップの撃破を試みます
communication-log,EDF4,リニアキャノン発射と同時に、テンペストによる長距離攻撃が開始されます
communication-log,EDF4,それでもすべては落としきれない！地獄になるぞ！
communication-log,EDF4,こちら作戦指令本部。レタリウスを殲滅しろ！
communication-log,EDF4,マザーシップ船団、地球への降下を開始
communication-log,EDF4,いよいよ始まるぞ。地球の運命が決まる時だ
communication-log,EDF4,マザーシップの防空システムに阻まれて航空機は接近できない。長距離攻撃が最良の方法だ
communication-log,EDF4,リニアキャノン、発射されました
communication-log,EDF4,着弾。マザーシップ一隻を撃沈
communication-log,EDF4,やったか！
communication-log,EDF4,よし！
communication-log,EDF4,リニアキャノン、再装填中。テンペスト、第一編隊発射
