genre,chat
sad,救助失敗だ
sad,救助する体力がない
sad,体力がない
sad,回復できなかった
sad,落ちた
sad,ビークルに乗れなかった
sad,おいていかれた
sad,おいつけない
sad,活躍できなかった
sad,もう少しでクリアできそうだった
surprised,！
surprised,あっ！
surprised,えっ！
surprised,そうなのか！？
surprised,確かか？
surprised,ありえない！
surprised,どうなってる！？
surprised,何がおこった！？
surprised,ガーン！
surprised,そんなバカな！
surprised,すごいな
surprised,敵が来たぞ！
surprised,数が多いぞ！
surprised,速い！
surprised,弱い！
surprised,捕まった！
surprised,予定と違う
relief,ふう
relief,もう安心だ
relief,きりぬけた
relief,生き残ったぞ
relief,勝てた
relief,勝てるかもしれない
relief,役に立ててよかった
relief,復活できてよかった
relief,アイテムを回収できてよかった
relief,追いついた
confused,？
confused,なぜ？
confused,こんなはずでは
confused,どうすればいいんだ
confused,勝てるはずだった
confused,あっという間にやられた
confused,予想より強い
confused,予想より速い
confused,この武器はダメだ
shout,おおぉぉぉーーーーーっ！
shout,ウオォォォーーー！！
shout,ＥＤＦッッ！
shout,ＥＤＦッッ！ＥＤＦッッ！！
shout,ウォォォ！！
shout,撃てーっ！
shout,攻撃しろ！！
shout,前進ーっ！
screem,うあぁ！
screem,ぐはぁ！
screem,ぎゃぁぁ！！
screem,やめろーっ！
screem,被弾しました
sing,我らは歩兵隊。燃えたぎる闘志のタフガイだ。
sing,勝利の凱歌には、俺達の犠牲が必要だ。
sing,煌めく閃光は、空を舞う戦士の稲妻だ。
sing,さあ、今すぐ銃をとれ。押し寄せる円盤撃ち落とせ。
greeting,やあ
greeting,よろしく
greeting,ふつつかものですが、よろしく願います
greeting,おはよう
greeting,こんばんは
greeting,共に戦います
greeting,歓迎する
greeting,またな
greeting,あばよ
greeting,寝る
greeting,この戦いが終わったら離隊する
sorry,すまない
sorry,謝罪する
sorry,反省している
sorry,悪気はなかった
sorry,悪いな
forgive,問題ない
forgive,気にするな
forgive,そういうこともある
forgive,心配するな
forgive,楽しめている
forgive,戦友だろ
praise,グッジョブ
praise,お見事！
praise,うまい！
praise,よくやった！
praise,いいぞ！
praise,その調子でやれ！
praise,やるな！
praise,たいしたもんだ！
praise,いい仕事をしたな
praise,天才だな
praise,いい武器だ
encourage,がんばれ
encourage,勝てるぞ！
encourage,しっかりしろ！
encourage,おい！　無事か？
encourage,諦めたら終わりだぞ！
encourage,弱気になるな。お前ならできる。
encourage,ひるむな！　撃て！
encourage,こらえろ！　撃ち続けるんだ！
encourage,引き金を引け！　敵を撃て！
encourage,なんとかしてやる！
encourage,助けに行くぞ！
encourage,守ってやるぞ
encourage,死ぬな。連れて帰ってやる
encourage,死ぬんじゃないぞ
encourage,絶対に死ぬな！
encourage,無理をするな
mediate,冷静になれ
mediate,ＥＤＦの誇りを思い出せ
mediate,仲良くやろう
mediate,のんびりやろう
mediate,次はがんばればいい
helpme,助けてくれーーっ！
helpme,誰か来てくれ！
helpme,援護が必要だ！
helpme,救助してくれ！
helpme,ここにいる！　早く来てくれ！
helpme,サポートしてくれ
helpme,ビークルが必要だ！
helpme,ミサイルが必要だ
helpme,かまわず戦ってくれ
restart,再出撃する
restart,退却する
restart,武器を変更するために退却するぞ
restart,体力を増やして出直すぞ
restart,楽勝だが退却する
restart,難しいミッションにする
restart,難易度を変える
restart,難易度を下げる
action,空爆する
action,前進します！
action,移動する
action,突撃する
action,援護する
action,遠距離戦をする
action,敵から離れて戦う
action,盾になる
action,いったん逃げる
action,そちらに向かう
action,救助のために体力を回復する
action,気絶している
action,回復する
action,○○(プレイヤー名)を守る
action,ボスを攻撃する
action,アンカーを攻撃する
action,砲台を攻撃する
action,ブレードを使う
action,ミサイルを使う
action,レーザー誘導装置の支援を待つ
action,誘導ビーコンの支援を待つ
action,ガードポストを設置した
action,トーチカを設置した
action,ビークルを置いたぞ
warn,危ない！
warn,注意しろ！
warn,離れろ！
warn,範囲攻撃に注意してくれ
warn,ハンマーに注意してくれ
warn,攻撃が届かない
warn,強敵だ！
warn,敵が増えたぞ！
warn,ここにいる
warn,こっちじゃない
warn,エイリアンは気付いてない
warn,敵は戦闘モードだ
defeated,撃破！
defeated,クリア！
defeated,最後の敵を破壊
defeated,制圧したぞ
defeated,ものたりないな
defeated,ザコ退治が終わったぞ
defeated,大型円盤を撃破！
defeated,シールドベアラーを破壊！
defeated,巣を撃破！
defeated,大物を撃破！
defeated,砲台を破壊！
ask,ＯＫ？
ask,大丈夫か？
ask,ダメか？
ask,いるか？
ask,準備はいいか？
ask,助けがいるか？
ask,負けているのか？
ask,再出撃していいか？
ask,退却していいか？
ask,このまま続けていいか？
ask,失敗したので再出撃していいか？
ask,兵科変更のため退却してもいいか？
ask,参加者が減ったので退却していいか？
ask,ミッションを変えていいか？
ask,難しいミッションにしていいか？
ask,難易度を上げていいか？
ask,攻撃していいか？
ask,最後の敵を倒していいか？
ask,攻撃してくれないか？
ask,援護してくれないか？
ask,空爆していいか？
ask,ミサイルを使っていいか？
ask,レーザー誘導が必要か？
ask,レーザー誘導で支援できるか？
ask,武器を変更するか？
ask,前進していいか？
ask,突撃していいか？
ask,後退していいか？
ask,右にいっていいか？
ask,こっちに来れるか？
ask,合流できるか？
ask,避難していいか？
ask,救助に行けるか？
ask,救助できるか？
ask,救助する体力はあるか？
ask,アイテムをとっていいか？
ask,アイテムの回収は終わったか？
ask,アイテム回収に専念していいか？
ask,ビークルを要請するか？
ask,ビークルをもらっていいか？
ask,ガンナー席に乗っていいか？
helpyou,救助に行く
helpyou,救助しろ！
helpyou,救助のために体力を回復するんだ
helpyou,救助を優先するんだ
strategy,敵を攻撃してくれ
strategy,敵に接近してくれ
strategy,援護してくれ
strategy,突撃してくれ
strategy,オトリになってくれ
strategy,○○(プレイヤー名)を守ろう
strategy,ビークルが投下されるまで攻撃を待て
strategy,空爆が終わるまで待ってくれ
strategy,そろそろ攻撃しよう
strategy,遠距離攻撃だ
strategy,後退しながら戦うぞ
strategy,慎重に行く
strategy,かたまらず散開しろ！
attackenemy,ザコを倒すぞ
attackenemy,エイリアンを倒すぞ
attackenemy,アンカーを破壊するぞ
attackenemy,アラネアを倒すぞ
attackenemy,ロボットを破壊するぞ
attackenemy,赤いやつを倒すぞ
attackenemy,銀色を倒すぞ
attackenemy,ザコを倒してくれ
attackenemy,エイリアンを倒してくれ
attackenemy,アンカーを破壊してくれ
attackenemy,アラネアを倒してくれ
attackenemy,ロボットを破壊してくれ
attackenemy,赤いやつを倒してくれ
attackenemy,銀色を倒してくれ
equipment,長射程の武器で戦おう
equipment,空爆で戦おう
equipment,接近戦用の武器で戦おう
equipment,設置型装置を使おう
equipment,トーチカを使おう
equipment,ガードポストを使おう
equipment,リバーサーを使おう
move,行くぞ！
move,続け！
move,後退する
move,戻るぞ
move,左に行く
move,下に行く
move,ここで待とう
move,この場所で戦うぞ
move,ここに隠れよう
move,動かないでくれ
move,集合してくれ
move,こっちへ来てくれ
move,支援装置の周囲に集まってくれ
gathering,○○(プレイヤー名)の位置に集まるぞ
item,アイテムを回収する
item,アイテム回収終了
item,回復アイテムが欲しい
item,回復アイテムがある
item,武器アイテムがある
item,ここには無い
vehicle,ビークルを要請する
vehicle,ビークルが投下されるまで待ってくれ
vehicle,ビークルで輸送する
vehicle,ビークルに乗った
vehicle,ビークルに乗ってくれ
vehicle,ビークルに乗ってかまわない
vehicle,ビークルの弾がきれた
vehicle,ビークルを放棄するんだ
vehicle,ビークルを修理してくれ
vehicle,ビークルにまかせたぞ
vehicle,ガンナー席に乗ってくれ
vehicle,横に乗ってくれ
vehicle,あと１人乗ってくれ
vehicle,あと３人乗ってくれ
vehicle,戦車だ
vehicle,バイクだ
vehicle,特殊タンクだ
appeal,敬礼1
appeal,よろしく
appeal,はい、肯定
appeal,ガッツポーズ
appeal,とても喜ぶ
appeal,怒る
appeal,悲しむ
appeal,グッジョブ
appeal,謝る
appeal,正座
appeal,踊る
appeal,探す
appeal,腕立て伏せ
appeal,腹筋
appeal,ハンドサイン1
appeal,ハンドサイン3
appeal,フォーメーション2
appeal,フォーメーション4
appeal,誘導サイン1
appeal,誘導サイン3
appeal,誘導サイン5
